date,symbol,F_mom121,F_er20,F_idiovol60,F_obv20,composite,rank
2025-01-31,AGQ,,,,,0.5,1.0
2025-01-31,BOIL,,,,,0.5,2.0
2025-01-31,CHAU,,,,,0.5,3.0
2025-01-31,DRN,,,,,0.5,4.0
2025-01-31,DUSL,,,,,0.5,5.0
2025-01-31,EDC,,,,,0.5,6.0
2025-01-31,ERX,,,,,0.5,7.0
2025-01-31,EURL,,,,,0.5,8.0
2025-01-31,FAS,,,,,0.5,9.0
2025-01-31,KORU,,,,,0.5,10.0
2025-01-31,LABU,,,,,0.5,11.0
2025-01-31,MEXX,,,,,0.5,12.0
2025-01-31,RETL,,,,,0.5,13.0
2025-01-31,SOXL,,,,,0.5,14.0
2025-01-31,TECL,,,,,0.5,15.0
2025-01-31,TMF,,,,,0.5,16.0
2025-01-31,TNA,,,,,0.5,17.0
2025-01-31,TQQQ,,,,,0.5,18.0
2025-01-31,TYD,,,,,0.5,19.0
2025-01-31,UCO,,,,,0.5,20.0
2025-01-31,UDOW,,,,,0.5,21.0
2025-01-31,UGL,,,,,0.5,22.0
2025-01-31,UPRO,,,,,0.5,23.0
2025-01-31,UTSL,,,,,0.5,24.0
2025-01-31,UUP,,,,,0.5,25.0
2025-01-31,UVXY,,,,,0.5,26.0
2025-01-31,UYM,,,,,0.5,27.0
2025-01-31,YINN,,,,,0.5,28.0
2025-02-03,UYM,,0.4805519511346012,,0.5455808294507053,0.36363636363636365,1.0
2025-02-03,UGL,,0.3827971109652004,,0.21782009979600903,0.3344155844155844,2.0
2025-02-03,FAS,,0.37687195044721716,,0.23153867555154928,0.3279220779220779,3.0
2025-02-03,UDOW,,0.3518914899849041,,0.1589208770266348,0.30844155844155846,4.0
2025-02-03,AGQ,,0.2804085422469823,,0.30809626598795065,0.3084415584415584,5.0
2025-02-03,MEXX,,0.16319347732509562,,0.3668786584553484,0.2824675324675324,6.0
2025-02-03,EURL,,0.3503362459398874,,0.014451775054979578,0.2792207792207792,7.0
2025-02-03,YINN,,0.2157477749037657,,0.09224088611213138,0.2694805194805195,8.0
2025-02-03,UPRO,,0.11701926590476634,,0.1485469600781054,0.2337662337662338,9.0
