"代码","名称","最新价","涨跌额","涨跌幅","市值","成交量","成交额","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅","市盈率(静)","换手率","涨跌速率","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今","所属行业"
"GBTG","Global Business Travel Group","9.460","0.000","0.00%","4941652770.78","1514857","14334924.00","9.460","9.550","100","9000","9.460","9.460","9.480","9.460","0.67","-97.80%","0.21%","43.000","0.77%","-0.05%","-0.05%","0.00%","-0.32%","0.00%","+0.85%","+77.49%","+16.22%","+23.66%","旅游服务"
"EBC","Eastern Bankshares","21.600","+0.050","+0.23%","4935849523.20","9063347","195535610.00","20.950","22.240","500","100","21.460","21.550","21.670","21.280","4.19","66.67%","1.81%","50.232","4.30%","-0.14%","-0.02%","0.00%","-1.51%","-4.37%","+1.48%","+15.26%","+23.13%","+19.68%","地区银行"
"HAE","美国血液技术","108.400","+0.800","+0.74%","4931880328.40","1300443","141343489.00","101.580","121.000","100","100","108.950","107.600","110.450","107.600","2.22","0.00%","2.65%","52.878","2.90%","-0.12%","-0.23%","+5.56%","+5.40%","+0.17%","+48.76%","+100.59%","+114.23%","+35.25%","医疗设备"
"OUT","Outfront Media Inc.","27.980","+0.120","+0.43%","4928264322.98","6612353","185017939.00","27.410","28.560","100","200","27.680","27.860","28.190","27.680","4.83","-33.33%","1.83%","34.121","3.80%","-0.29%","-0.04%","-2.24%","-3.75%","-4.98%","-11.85%","+11.39%","+56.81%","+19.78%","专业REITs"
"EWTX","Edgewise Therapeutics","45.320","-1.620","-3.45%","4921939126.28","1991953","90959984.00","43.760","45.580","100","100","46.790","46.940","46.930","45.320","1.02","0.00%","3.43%","亏损","2.68%","-0.07%","-0.22%","+2.07%","+8.03%","+4.69%","+7.14%","+46.95%","+217.81%","+82.63%","生物技术"
"WAY","Waystar Holding","25.660","-0.850","-3.21%","4920264354.56","2820893","73028683.00","25.710","27.000","200","1500","26.950","26.510","26.950","25.650","0.87","-76.47%","4.90%","42.065","2.08%","0.02%","-0.70%","+9.33%","-1.61%","+3.30%","+35.05%","+9.01%","-32.12%","-21.65%","健康信息服务"
"WTM","白山保险集团","2061.300","+2.980","+0.14%","4919747997.30","39108","80666029.00","2030.050","3338.430","20","10","2052.910","2058.320","2084.140","2029.150","1.72","33.33%","2.67%","4.792","1.69%","-0.27%","+0.00%","+0.40%","-2.41%","-2.66%","+1.92%","-4.30%","+16.52%","-0.76%","财产和意外伤害保险"
"VSEC","VSE技术服务","174.830","-0.250","-0.14%","4906599054.76","726251","127035124.00","173.500","189.470","100","500","174.790","175.080","177.090","172.670","1.65","-66.67%","2.52%","317.872","3.01%","0.41%","+0.29%","-10.33%","-13.70%","-18.50%","-19.65%","+2.40%","+8.85%","+1.33%","航空航天与国防"
"GTX","Garrett Motion","26.270","+0.010","+0.04%","4899181985.78","7483916","196551581.00","25.000","31.890","400","200","26.340","26.260","26.575","25.940","3.81","33.33%","2.42%","17.282","4.06%","-0.23%","+0.08%","-4.89%","-3.88%","-0.20%","-20.92%","+49.03%","+96.61%","+52.46%","汽车零件"
"VSNT","Versant Media","35.180","-1.150","-3.17%","4896003344.04","5815151","204225851.00","35.200","35.460","1000","100","36.065","36.330","36.490","34.495","3.96","81.82%","5.49%","5.453","4.18%","-0.03%","+0.38%","-5.40%","-14.13%","-8.93%","-6.84%","+1.37%","-21.33%","-20.19%","娱乐"
